titular,url
Galicia afronta la avalancha de alijos de cocaína bajo la alerta de la UE por el aumento de corrupción en los puertos,https://elpais.com/espana/galicia/2025-12-28/galicia-afronta-la-avalancha-de-alijos-de-cocaina-bajo-la-alerta-de-la-ue-por-el-aumento-de-corrupcion-en-los-puertos.html
"Casos resueltos con “los ojos” del Metro, la red que nos vigila bajo tierra",https://elpais.com/espana/madrid/2025-12-28/casos-resueltos-con-los-ojos-del-metro-la-red-que-nos-vigila-bajo-tierra.html
Juan Antonio Madrid: “Los trastornos de sueño son un síntoma de cómo vivimos nuestro día”,https://elpais.com/salud-y-bienestar/2025-12-28/juan-antonio-madrid-experto-en-trastornos-de-sueno-es-un-problema-global-no-se-puede-resolver-con-recetas-individuales.html
2026 ya está aquí y estas son sus fechas clave,https://elpais.com/eps/2025-12-28/2026-ya-esta-aqui-y-estas-son-sus-fechas-clave.html
"Fallece un hombre de 60 años en Madrid tras ser acuchillado en una pierna, lo que le provocó una hemorragia mortal",https://elpais.com/espana/madrid/2025-12-27/fallece-un-hombre-de-60-anos-en-madrid-tras-ser-agredido-en-la-pierna-con-un-arma-blanca-que-le-provoco-una-hemorragia-mortal.html
Ayuso aprueba un gasto extra de 106 millones de euros para el “reequilibrio” económico de tres hospitales de Quirón en 2025,https://elpais.com/espana/madrid/2025-12-26/ayuso-aprueba-un-gasto-extra-de-106-millones-de-euros-para-el-reequilibrio-economico-de-tres-hospitales-de-quiron-en-2025.html
El PP de Ayuso veta la comisión de investigación que pidió Más Madrid para el hospital de Torrejón,https://elpais.com/espana/madrid/2025-12-26/el-pp-de-ayuso-veta-la-comision-de-investigacion-que-pidio-mas-madrid-para-el-hospital-de-torrejon.html
Irene Pujadas: “Hi ha l’obligació social de superar la fantasia”,https://elpais.com/quadern/literatura/2025-12-28/irene-pujadas-hi-ha-lobligacio-social-de-superar-la-fantasia.html
La vivienda en 2026 en Cataluña: más problemas para alquilar y precios de compra al alza,https://elpais.com/espana/catalunya/2025-12-28/la-vivienda-en-2026-en-cataluna-mas-problemas-para-alquilar-y-precios-de-compra-al-alza.html
"Es la segregación urbana, estúpido",https://elpais.com/espana/catalunya/2025-12-28/es-la-segregacion-urbana-estupido.html
80.000 barriles de petróleo de Pemex a Cuba: la isla se mete en la pugna entre Estados Unidos y México,https://elpais.com/mexico/2025-12-28/80000-barriles-de-petroleo-de-pemex-a-cuba-la-isla-se-mete-en-la-pugna-entre-estados-unidos-y-mexico.html
El chavismo resiste a Trump y radicaliza su proyecto de ‘Estado revolucionario’,https://elpais.com/america/2025-12-27/el-chavismo-resiste-a-trump-y-radicaliza-su-proyecto-de-estado-revolucionario.html
"Polvo, sangre y exilio: sobrevivieron a las masacres de los paramilitares en Darfur y ahora son el testimonio vivo de las matanzas",https://elpais.com/planeta-futuro/2025-12-28/polvo-sangre-y-exilio-sobrevivieron-a-las-masacres-de-los-paramilitares-en-darfur-y-ahora-son-el-testimonio-vivo-de-las-matanzas.html
"Nora Sándigo, ‘la gran madre’ donde las familias de migrantes buscan refugio en Estados Unidos",https://elpais.com/us/migracion/2025-12-28/nora-sandigo-la-gran-madre-donde-las-familias-de-migrantes-buscan-refugio-en-estados-unidos.html
"Putin quiere continuar la guerra de Ucrania; los rusos, no: “Que se acabe, todos estamos cansados”",https://elpais.com/internacional/2025-12-27/putin-quiere-continuar-la-guerra-de-ucrania-los-rusos-no-que-se-acabe-todos-estamos-cansados.html
"Claves de la inversión en 2026, la hora de la verdad para la apuesta por la IA",https://cincodias.elpais.com/mercados-financieros/2025-12-28/claves-de-la-inversion-en-2026-la-hora-de-la-verdad-para-la-apuesta-por-la-ia.html
Sabadell: año nuevo cargado de expectativas en el mercado,https://cincodias.elpais.com/mercados-financieros/2025-12-28/sabadell-ano-nuevo-cargado-de-expectativas-en-el-mercado.html
"Meg O’Neill, la mujer que hace historia en la industria del petróleo",https://cincodias.elpais.com/opinion/2025-12-28/meg-oneill-la-mujer-que-hace-historia-en-la-industria-del-petroleo.html
El dilema de Digi: ¿aguantará su red la expansión récord de clientes?,https://cincodias.elpais.com/companias/2025-12-28/el-dilema-de-digi-aguantara-su-red-la-expansion-record-de-clientes.html
"Las distorsiones en la cadena de suministro de Toyota, pico de 2025",https://cincodias.elpais.com/opinion/2025-12-28/las-distorsiones-en-la-cadena-de-suministro-de-toyota-pico-de-2025.html
Zoey Deutch: “He visto ‘Al final de la escapada’ más de 100 veces para prepararme el papel”,https://elpais.com/smoda/famosos/2025-12-28/zoey-deutch-he-visto-al-final-de-la-escapada-mas-de-100-veces-para-prepararme-el-papel.html
"Rick Riordan, creador de ‘Percy Jackson’: “Las novelas pueden ser más poderosas que una película o una serie”",https://elpais.com/television/series/2025-12-27/rick-riordan-creador-de-percy-jackson-las-novelas-pueden-ser-mas-poderosas-que-una-pelicula-o-una-serie.html
"Peregrinos, aves y atardeceres en la ría más chica de Galicia",https://elpais.com/elviajero/2025-12-28/peregrinos-aves-y-atardeceres-da-morte-en-la-ria-de-lires-la-mas-chica-de-galicia.html
El milagroso “abono de murciélago” que revive plantas enfermas: “No podía creer lo que veía”,https://elpais.com/estilo-de-vida/2025-12-28/el-milagroso-abono-de-murcielago-que-revive-plantas-enfermas-no-podia-creer-lo-que-veia.html
"2026: la rebelión del pelotón contra Tadej Pogacar, el mejor ciclista de la historia",https://elpais.com/deportes/ciclismo/2025-12-28/2026-la-rebelion-del-peloton-contra-tadej-pogacar-el-mejor-ciclista-de-la-historia.html
"David Puig, Josele Ballester y Ángel Ayora, el futuro del golf español pega fuerte",https://elpais.com/deportes/2025-12-28/david-puig-josele-ballester-y-angel-ayora-el-futuro-del-golf-espanol-pega-fuerte.html
El trail quiere ser olímpico: el complejo reto de llevar a los Juegos las carreras de montaña,https://elpais.com/deportes/2025-12-28/el-trail-quiere-ser-olimpico-el-complejo-reto-de-llevar-a-los-juegos-las-carreras-de-montana.html
"Carolina Marín deja las redes sociales para cuidar su salud mental: “He colapsado, necesito aislarme de verdad y pensar en mí”",https://elpais.com/deportes/2025-12-27/carolina-marin-deja-las-redes-sociales-para-cuidar-su-salud-mental-he-colapsado-necesito-aislarme-de-verdad-y-pensar-en-mi.html?autoplay=1
¿Tienes nueve minutos? Los nueve temas que debes saber hoy para estar informado,https://elpais.com/expres/
Crucigrama para expertos,https://elpais.com/juegos/crucigramas/experto/
"La cocina vegana coreana, las salsas asiáticas y la tradición culinaria de Vietnam entre las grandes tendencias",https://elpais.com/gastronomia/2025-12-28/la-cocina-vegana-coreana-las-salsas-asiaticas-y-la-tradicion-culinaria-de-vietnam-entre-las-grandes-tendencias-bibliograficas-de-2026.html
Las 15 recetas más vistas de El Comidista,https://elpais.com/gastronomia/el-comidista/2025-12-28/las-15-recetas-mas-vistas-de-el-comidista-en-2025.html
Tres recetas navideñas ligeras (y preciosas) para disfrutar sin excesos y cocinar en familia,https://elpais.com/mamas-papas/familia/2025-12-28/tres-recetas-navidenas-ligeras-y-preciosas-para-disfrutar-sin-excesos-y-cocinar-en-familia.html
El alpinista Simone Moro sobrevive a un infarto a 5.000 metros y anuncia la creación de un servicio de rescate aéreo en el Karakoram de Pakistán,https://elpais.com/deportes/el-montanista/2025-12-27/el-alpinista-simone-moro-sobrevive-a-un-infarto-a-5000-metros-y-anuncia-la-creacion-de-un-servicio-de-rescate-aereo-en-el-karakoram-de-pakistan.html
La obsesión de Trump por poner su nombre a todo carece de precedentes en Estados Unidos,https://elpais.com/internacional/2025-12-25/la-obsesion-de-trump-por-poner-su-nombre-a-todo-carece-de-precedentes-en-estados-unidos.html
Los reportajes que más han gustado a los lectores de ‘El País Semanal’ en 2025,https://elpais.com/eps/2025-12-25/los-reportajes-que-mas-han-gustado-a-los-lectores-de-el-pais-semanal-en-2025.html
¿Cómo ha sido tu año en EL PAÍS? Date una vuelta por el 2025 y descubre qué tipo de lector eres,https://elpais.com/especial/resumen-anual/
Correo del Arte. Ana Marcos cuenta lo qué sucede en el mundo del arte y ofrece la agenda con las mejores exposiciones.,https://plus.elpais.com/newsletters/lnp/1/411/#?prm=elpais_mkt_ep_boletinarte_bloqueeph
Kiko Llaneras. El análisis y la explicación de la actualidad en datos en un boletín semanal.,https://plus.elpais.com/newsletters/lnp/1/377/#?prm=elpais_mkt_ep_boletinkikollaneras_bloqueeph
Versión muy original. Toda la actualidad sobre el cine de la mano de Gregorio Belinchón.,https://plus.elpais.com/newsletters/lnp/1/336/#?prm=elpais_mkt_ep_boletincinevo_bloqueeph
Estado de Opinión. Las claves y firmas para seguir los temas y debates de la semana.,https://plus.elpais.com/newsletters/lnp/1/340/#?prm=elpais_mkt_ep_boletinopinion_bloqueeph
"Ideas. Cada semana, entrevistas a pensadores, debates y ensayos para entender el mundo en que vivimos.",https://plus.elpais.com/newsletters/lnp/1/398/#?prm=elpais_mkt_ep_boletinideas_bloqueeph
GilletteLabs: afeitado suave incluso con barba de tres días,https://elpais.com/estilo/2025-12-23/la-lista-de-regalos-perfecta-para-estas-navidades.html#:~:text=GilletteLabs%3A%20afeitado%20suave%20incluso%20con%20barba%20de%20tres%20d%C3%ADas
Uncovercity: el regalo perfecto para quienes “lo tienen todo”,https://elpais.com/estilo/2025-12-23/la-lista-de-regalos-perfecta-para-estas-navidades.html#:~:text=Uncovercity%3A%20el%20regalo%20perfecto%20para%20quienes%20%E2%80%9Clo%20tienen%20todo%E2%80%9D
Inventada para la montaña y reinventada para la ciudad,https://elpais.com/estilo/2025-12-23/la-lista-de-regalos-perfecta-para-estas-navidades.html#:~:text=Inventada%20para%20la%20monta%C3%B1a%20y%20reinventada%20para%20la%20ciudad
"El chaleco perfecto para trabajar está en Amazon: acolchado, cortavientos y con siete bolsillos",https://elpais.com/escaparate/estilo-de-vida/2025-12-28/chaleco-de-trabajo.html
5 ‘sprays’ fijadores que harán que tu maquillaje esté intacto durante horas (y no secan la piel),https://elpais.com/escaparate/belleza/2025-12-28/spray-fijadores-de-maquillaje.html
A los que les chiflan las velas les encantará este regalo de Navidad con riquísimos olores,https://elpais.com/escaparate/estilo-de-vida/2025-12-28/kit-para-hacer-velas.html
10 superventas en distintas categorías de compra que solo encontrarás a este precio en Amazon Haul,https://elpais.com/escaparate/ofertas-y-descuentos/2025-12-27/amazon-haul-superventas-a-bajo-precio.html
"Trump justifica su ataque a Nigeria por la masacre de cristianos, pero las víctimas del yihadismo son de todas las confesiones",https://elpais.com/internacional/2025-12-27/trump-justifica-su-ataque-a-nigeria-por-la-masacre-de-cristianos-pero-las-victimas-del-yihadismo-son-de-todas-las-confesiones.html
Tailandia y Camboya pactan el fin de unos choques que dejan un centenar de muertos y 700.000 desplazados,https://elpais.com/internacional/2025-12-27/tailandia-y-camboya-pactan-el-fin-de-unos-choques-que-dejan-un-centenar-de-muertos-y-700000-desplazados.html
Capturado en Paraguay un exjefe policial bolsonarista que intentó huir tras ser condenado por golpismo,https://elpais.com/america/2025-12-26/capturado-en-paraguay-un-exjefe-policial-bolsonarista-que-intento-huir-tras-ser-condenado-por-golpismo.html
El Gobierno acelera la reforma de la financiación ante el ciclo electoral de 2026 y la presión de los socios,https://elpais.com/espana/2025-12-27/el-gobierno-acelera-la-reforma-de-la-financiacion-ante-el-ciclo-electoral-de-2026-y-la-presion-de-los-socios.html
La Guardia Civil halla el cadáver de un hombre en un canal de riego de Isla Mayor,https://elpais.com/espana/2025-12-27/la-guardia-civil-halla-el-cadaver-de-un-hombre-en-un-canal-de-riego-de-isla-mayor.html
La izquierda naufraga en su intento de unidad en Aragón y se dividirá en tres candidaturas,https://elpais.com/espana/2025-12-26/el-diputado-de-sumar-jorge-pueyo-sera-cabeza-de-lista-de-cha-por-zaragoza.html
Año de cambios entre los 20 más ricos del mundo con Elon Musk (casi) imbatible en cabeza,https://elpais.com/economia/2025-12-27/ano-de-cambios-entre-los-20-mas-ricos-del-mundo-con-elon-musk-casi-imbatible-en-cabeza.html
Las eléctricas prevén operar con el recargo antiapagón en la factura de la luz durante casi todo 2026,https://elpais.com/economia/2025-12-27/las-electricas-preven-operar-con-el-recargo-antiapagon-en-la-factura-de-la-luz-durante-casi-todo-2026.html
Los grandes conflictos por la vivienda en 2025: de la fianza al ex que ocupa la casa,https://elpais.com/economia/negocios/2025-12-27/los-grandes-conflictos-por-la-vivienda-en-2025-de-la-fianza-al-ex-que-ocupa-la-casa.html
Por qué no pueden funcionar los protocolos contra el acoso,https://elpais.com/sociedad/2025-12-28/por-que-no-pueden-funcionar-los-protocolos-contra-el-acoso.html
La promesa de elegir cuándo ser madre convertida en negocio: cómo los algoritmos impulsan la congelación de óvulos,https://elpais.com/sociedad/2025-12-27/la-promesa-de-elegir-cuando-ser-madre-convertida-en-negocio-como-los-algoritmos-impulsan-la-congelacion-de-ovulos.html
La incidencia de la gripe empieza a descender tras alcanzar el pico de contagios antes de las Navidades,https://elpais.com/sociedad/2025-12-26/la-incidencia-de-la-gripe-empieza-a-descender-tras-alcanzar-el-pico-de-contagios-antes-de-las-navidades.html
"Víctor Bermúdez, profesor de Filosofía: “Hemos perdido el control del proceso educativo, lo que damos en clase es en gran medida un simulacro”",https://elpais.com/educacion/2025-12-25/victor-bermudez-profesor-de-filosofia-hemos-perdido-el-control-del-proceso-educativo-lo-que-damos-en-clase-es-en-gran-medida-un-simulacro.html
¿Repetir o pasar de curso? Algunos daños colaterales,https://elpais.com/educacion/2025-12-26/repetir-o-pasar-de-curso-algunos-danos-colaterales.html
"De la reinserción social a la dana, la IA o la cultura urbana: estas son algunas de las historias educativas más relevantes de 2025",https://elpais.com/economia/formacion/2025-12-26/de-la-reinsercion-social-a-la-dana-la-ia-o-la-cultura-urbana-estas-son-algunas-de-las-historias-educativas-mas-relevantes-de-2025.html
El gran apagón y la desinformación contra las energías renovables,https://elpais.com/videos/2025-12-28/el-gran-apagon-y-la-desinformacion-contra-las-energias-renovables.html?autoplay=1
Los incendios alimentados por el calentamiento global disparan la factura de la crisis climática entre las 10 catástrofes más costosas del año,https://elpais.com/clima-y-medio-ambiente/2025-12-27/los-incendios-alimentados-por-el-calentamiento-global-disparan-la-factura-de-la-crisis-climatica-entre-las-10-catastrofes-mas-costosas-del-ano.html
